Country or Area,Female 15-24 yr Literacy rate of 15-24 year-olds,Male 15-24 yr Literacy rate of 15-24 year-olds
Afghanistan,73,86
Albania,99,99
Algeria,89,94
Andorra,99,99
Angola,66,80
Antigua and Barbuda,97,97
Argentina,99,99
Armenia,100,100
Australia,99,99
Austria,99,99
Azerbaijan,100,100
Bahamas,97,97
Bahrain,100,100
Bangladesh,78,75
Barbados,97,97
Belarus,100,100
Belgium,99,99
Belize,97,97
Benin,45,66
Bhutan,68,80
Bolivia (Plurinational State of),99,100
Bosnia and Herzegovina,100,100
Botswana,97,94
Brazil,99,97
Brunei Darussalam,100,100
Bulgaria,98,98
Burkina Faso,33,47
Burundi,78,78
Cambodia,86,88
Cameroon,77,89
Canada,0.0,0.0
Cape Verde,99,97
Central African Republic,58,72
Chad,41,53
Chile,99,99
China,99,99
Colombia,99,98
Comoros,85,86
Congo,78,87
Cook Islands,99,99
Costa Rica,99,98
Croatia,100,100
Cuba,100,100
Cyprus,100,100
Czech Republic,99,99
Côte d'Ivoire,62,72
Democratic People's Republic of Korea,100,100
Democratic Republic of the Congo,62,68
Denmark,99,99
Djibouti,67,76
Dominica,97,97
Dominican Republic,98,96
Ecuador,99,98
Egypt,84,91
El Salvador,96,96
Equatorial Guinea,98,98
Eritrea,87,92
Estonia,100,100
Ethiopia,47,63
Fiji,99,99
Finland,99,99
France,99,99
Gabon,97,99
Gambia,62,72
Georgia,100,100
Germany,99,99
Ghana,80,82
Greece,99,99
Grenada,97,97
Guatemala,85,89
Guinea,57,70
Guinea-Bissau,65,79
Guyana,97,97
Haiti,70,74
Honduras,96,94
Hungary,99,99
Iceland,99,99
India,74,88
Indonesia,99,100
Iran (Islamic Republic of),99,99
Iraq,81,85
Ireland,99,99
Israel,89,94
Italy,100,100
Jamaica,98,93
Japan,99,99
Jordan,99,99
Kazakhstan,100,100
Kenya,94,92
Kiribati,68,76
Kuwait,99,99
Kyrgyzstan,100,100
Lao People's Democratic Republic,79,89
Latvia,100,100
Lebanon,99,98
Lesotho,98,86
Liberia,82,71
Libya,100,100
Liechtenstein,99,99
Lithuania,100,100
Luxembourg,99,99
Madagascar,64,66
Malawi,87,87
Malaysia,98,98
Maldives,99,99
Mali,34,56
Malta,99,97
Marshall Islands,99,99
Mauritania,65,71
Mauritius,98,96
Mexico,98,98
Monaco,99,99
Mongolia,97,94
Montenegro,99,99
Morocco,72,87
Mozambique,65,79
Myanmar,96,96
Namibia,95,91
Nauru,99,99
Nepal,78,88
Netherlands,99,99
New Zealand,99,99
Nicaragua,89,85
Niger,23,52
Nigeria,66,78
Norway,99,99
Oman,98,98
Pakistan,61,79
Panama,97,98
Papua New Guinea,72,65
Paraguay,99,99
Peru,97,98
Philippines,98,97
Poland,100,100
Portugal,100,100
Qatar,98,96
Republic of Korea,99,99
Republic of Moldova,100,99
Romania,97,97
Russian Federation,100,100
Rwanda,78,77
Saint Kitts and Nevis,97,97
Saint Lucia,97,97
Saint Vincent and the Grenadines,97,97
Samoa,100,99
San Marino,99,99
Sao Tome and Principe,96,95
Saudi Arabia,97,99
Senegal,56,74
Serbia,99,99
Seychelles,99,99
Sierra Leone,50,69
Singapore,100,100
Slovakia,99,99
Slovenia,100,100
Solomon Islands,68,76
Somalia,67,76
South Africa,98,97
South Sudan,67,76
Spain,100,100
Sri Lanka,99,98
State of Palestine,99,99
Sudan,68,76
Suriname,99,98
Swaziland,95,92
Sweden,99,99
Switzerland,99,99
Syrian Arab Republic,94,96
Tajikistan,100,100
Thailand,98,98
The former Yugoslav Republic of Macedonia,99,99
Timor-Leste,79,80
Togo,75,88
Tonga,100,99
Trinidad and Tobago,100,100
Tunisia,96,98
Turkey,97,99
Turkmenistan,100,100
Tuvalu,68,76
Uganda,85,90
Ukraine,100,100
United Arab Emirates,97,94
United Kingdom,99,99
United Republic of Tanzania,76,78
United States,0.0,0.0
Uruguay,99,98
Uzbekistan,100,100
Vanuatu,94,94
Venezuela (Bolivarian Republic of),99,98
Viet Nam,96,97
Yemen,74,96
Zambia,67,82
Zimbabwe,67,76
