Country or Area,Ratio of adult literacy rate of females to males
Afghanistan,69.0
Albania,97.0
Algeria,79.0
Andorra,98.0
Angola,70.0
Antigua and Barbuda,101.0
Argentina,100.0
Armenia,100.0
Australia,94.0
Austria,98.0
Azerbaijan,100.0
Bahamas,98.0
Bahrain,97.0
Bangladesh,85.0
Barbados,98.0
Belarus,100.0
Belgium,98.0
Belize,98.0
Benin,55.0
Bhutan,59.0
Bolivia (Plurinational State of),91.0
Bosnia and Herzegovina,97.0
Botswana,101.0
Brazil,100.0
Brunei Darussalam,97.0
Bulgaria,99.0
Burkina Faso,59.0
Burundi,85.0
Cambodia,80.0
Cameroon,80.0
Canada,0.0
Cape Verde,89.0
Central African Republic,62.0
Chad,54.0
Chile,100.0
China,94.0
Colombia,100.0
Comoros,87.0
Congo,70.0
Cook Islands,94.0
Costa Rica,100.0
Croatia,99.0
Cuba,100.0
Cyprus,98.0
Czech Republic,98.0
Côte d'Ivoire,72.0
Democratic People's Republic of Korea,100.0
Democratic Republic of the Congo,74.0
Denmark,98.0
Djibouti,76.0
Dominica,98.0
Dominican Republic,100.0
Ecuador,97.0
Egypt,79.0
El Salvador,94.0
Equatorial Guinea,93.0
Eritrea,73.0
Estonia,100.0
Ethiopia,59.0
Fiji,94.0
Finland,98.0
France,98.0
Gabon,92.0
Gambia,67.0
Georgia,100.0
Germany,98.0
Ghana,84.0
Greece,98.0
Grenada,98.0
Guatemala,87.0
Guinea,58.0
Guinea-Bissau,60.0
Guyana,98.0
Haiti,84.0
Honduras,100.0
Hungary,100.0
Iceland,98.0
India,68.0
Indonesia,94.0
Iran (Islamic Republic of),90.0
Iraq,82.0
Ireland,98.0
Israel,82.0
Italy,99.0
Jamaica,112.0
Japan,94.0
Jordan,93.0
Kazakhstan,100.0
Kenya,93.0
Kiribati,76.0
Kuwait,97.0
Kyrgyzstan,99.0
Lao People's Democratic Republic,77.0
Latvia,100.0
Lebanon,92.0
Lesotho,115.0
Liberia,88.0
Libya,86.0
Liechtenstein,98.0
Lithuania,100.0
Luxembourg,98.0
Madagascar,91.0
Malawi,84.0
Malaysia,95.0
Maldives,100.0
Mali,47.0
Malta,103.0
Marshall Islands,94.0
Mauritania,79.0
Mauritius,95.0
Mexico,97.0
Monaco,98.0
Mongolia,101.0
Montenegro,98.0
Morocco,64.0
Mozambique,61.0
Myanmar,95.0
Namibia,99.0
Nauru,94.0
Nepal,66.0
Netherlands,98.0
New Zealand,94.0
Nicaragua,100.0
Niger,35.0
Nigeria,70.0
Norway,98.0
Oman,90.0
Pakistan,59.0
Panama,99.0
Papua New Guinea,90.0
Paraguay,98.0
Peru,89.0
Philippines,101.0
Poland,100.0
Portugal,97.0
Qatar,99.0
Republic of Korea,94.0
Republic of Moldova,99.0
Romania,99.0
Russian Federation,100.0
Rwanda,90.0
Saint Kitts and Nevis,98.0
Saint Lucia,98.0
Saint Vincent and the Grenadines,98.0
Samoa,100.0
San Marino,98.0
Sao Tome and Principe,90.0
Saudi Arabia,90.0
Senegal,63.0
Serbia,97.0
Seychelles,101.0
Sierra Leone,59.0
Singapore,96.0
Slovakia,98.0
Slovenia,100.0
Solomon Islands,76.0
Somalia,76.0
South Africa,96.0
South Sudan,76.0
Spain,98.0
Sri Lanka,97.0
State of Palestine,94.0
Sudan,76.0
Suriname,99.0
Swaziland,99.0
Sweden,98.0
Switzerland,98.0
Syrian Arab Republic,86.0
Tajikistan,100.0
Thailand,96.0
The former Yugoslav Republic of Macedonia,97.0
Timor-Leste,83.0
Togo,61.0
Tonga,100.0
Trinidad and Tobago,99.0
Tunisia,82.0
Turkey,89.0
Turkmenistan,100.0
Tuvalu,76.0
Uganda,78.0
Ukraine,100.0
United Arab Emirates,102.0
United Kingdom,98.0
United Republic of Tanzania,85.0
United States,0.0
Uruguay,101.0
Uzbekistan,100.0
Vanuatu,96.0
Venezuela (Bolivarian Republic of),100.0
Viet Nam,96.0
Yemen,58.0
Zambia,77.0
Zimbabwe,76.0
